,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
29,,0.00237,https://api.spotify.com/v1/audio-analysis/12tzU2yCnbMpBDSovNEWzT,0.498,187548.0,0.97,12tzU2yCnbMpBDSovNEWzT,4.22e-05,11.0,0.27,-3.75,0.0,0.0896,154.977,4.0,https://api.spotify.com/v1/tracks/12tzU2yCnbMpBDSovNEWzT,audio_features,spotify:track:12tzU2yCnbMpBDSovNEWzT,0.274
30,,0.0205,https://api.spotify.com/v1/audio-analysis/7Bq4iZRoTu5wdTlZiN9Jph,0.269,216377.0,0.922,7Bq4iZRoTu5wdTlZiN9Jph,0.877,5.0,0.527,-5.426,0.0,0.0374,128.02,4.0,https://api.spotify.com/v1/tracks/7Bq4iZRoTu5wdTlZiN9Jph,audio_features,spotify:track:7Bq4iZRoTu5wdTlZiN9Jph,0.294
31,,0.0224,https://api.spotify.com/v1/audio-analysis/6csZ9mCNgWUyBZK4aFp6Tc,0.373,269321.0,0.904,6csZ9mCNgWUyBZK4aFp6Tc,0.0946,5.0,0.11,-4.661,1.0,0.115,150.131,4.0,https://api.spotify.com/v1/tracks/6csZ9mCNgWUyBZK4aFp6Tc,audio_features,spotify:track:6csZ9mCNgWUyBZK4aFp6Tc,0.103
32,,8.69e-05,https://api.spotify.com/v1/audio-analysis/6gkPdpKoA4OUunCO1wDvUd,0.322,217404.0,0.912,6gkPdpKoA4OUunCO1wDvUd,0.00574,11.0,0.0844,-4.162,0.0,0.152,150.003,4.0,https://api.spotify.com/v1/tracks/6gkPdpKoA4OUunCO1wDvUd,audio_features,spotify:track:6gkPdpKoA4OUunCO1wDvUd,0.152
33,,0.0075,https://api.spotify.com/v1/audio-analysis/5QAeogx7cLTpfCJsYIYwKw,0.452,198400.0,0.665,5QAeogx7cLTpfCJsYIYwKw,0.000538,5.0,0.14,-5.296,0.0,0.0363,149.728,4.0,https://api.spotify.com/v1/tracks/5QAeogx7cLTpfCJsYIYwKw,audio_features,spotify:track:5QAeogx7cLTpfCJsYIYwKw,0.0642
34,,0.000231,https://api.spotify.com/v1/audio-analysis/2P3smFoSMO0hgvG5ivP3TX,0.267,205935.0,0.982,2P3smFoSMO0hgvG5ivP3TX,0.374,1.0,0.213,-4.493,1.0,0.277,155.002,3.0,https://api.spotify.com/v1/tracks/2P3smFoSMO0hgvG5ivP3TX,audio_features,spotify:track:2P3smFoSMO0hgvG5ivP3TX,0.0811
35,,0.000806,https://api.spotify.com/v1/audio-analysis/0F83LHPAOGsVfH5GJK04XN,0.464,261072.0,0.971,0F83LHPAOGsVfH5GJK04XN,0.00398,4.0,0.0881,-3.762,1.0,0.169,154.966,4.0,https://api.spotify.com/v1/tracks/0F83LHPAOGsVfH5GJK04XN,audio_features,spotify:track:0F83LHPAOGsVfH5GJK04XN,0.177
36,,0.0273,https://api.spotify.com/v1/audio-analysis/1cXl9HHxbX1uDmXBM34JiO,0.452,241212.0,0.947,1cXl9HHxbX1uDmXBM34JiO,0.667,1.0,0.289,-3.069,1.0,0.0742,150.014,4.0,https://api.spotify.com/v1/tracks/1cXl9HHxbX1uDmXBM34JiO,audio_features,spotify:track:1cXl9HHxbX1uDmXBM34JiO,0.267
37,,0.134,https://api.spotify.com/v1/audio-analysis/2Ui2Gkjs2utRuVoM9tOmxi,0.561,248013.0,0.894,2Ui2Gkjs2utRuVoM9tOmxi,0.844,11.0,0.264,-4.713,0.0,0.0435,150.017,4.0,https://api.spotify.com/v1/tracks/2Ui2Gkjs2utRuVoM9tOmxi,audio_features,spotify:track:2Ui2Gkjs2utRuVoM9tOmxi,0.169
38,,0.0274,https://api.spotify.com/v1/audio-analysis/62tBv3Ip4xZhNJ4a0vZZxq,0.374,189554.0,0.954,62tBv3Ip4xZhNJ4a0vZZxq,4.65e-06,1.0,0.377,-2.52,0.0,0.0852,157.152,4.0,https://api.spotify.com/v1/tracks/62tBv3Ip4xZhNJ4a0vZZxq,audio_features,spotify:track:62tBv3Ip4xZhNJ4a0vZZxq,0.364
39,,0.0461,https://api.spotify.com/v1/audio-analysis/01GwMt79AGk31BrZCXl4Z4,0.663,196500.0,0.992,01GwMt79AGk31BrZCXl4Z4,0.63,1.0,0.0854,-2.02,1.0,0.16,160.016,4.0,https://api.spotify.com/v1/tracks/01GwMt79AGk31BrZCXl4Z4,audio_features,spotify:track:01GwMt79AGk31BrZCXl4Z4,0.478
40,,0.0158,https://api.spotify.com/v1/audio-analysis/4fn3QjJYjrniG7atoaafMG,0.542,201461.0,0.931,4fn3QjJYjrniG7atoaafMG,0.101,6.0,0.0863,-5.21,0.0,0.0546,154.976,4.0,https://api.spotify.com/v1/tracks/4fn3QjJYjrniG7atoaafMG,audio_features,spotify:track:4fn3QjJYjrniG7atoaafMG,0.209
41,,0.0239,https://api.spotify.com/v1/audio-analysis/4FOqiXfeWsrkpPndBCCf3m,0.533,190263.0,0.917,4FOqiXfeWsrkpPndBCCf3m,0.3,4.0,0.0488,-5.005,0.0,0.0418,152.012,4.0,https://api.spotify.com/v1/tracks/4FOqiXfeWsrkpPndBCCf3m,audio_features,spotify:track:4FOqiXfeWsrkpPndBCCf3m,0.218
42,,0.00346,https://api.spotify.com/v1/audio-analysis/7qdY93tMzb3Y5JjfRG9CZ6,0.379,288704.0,0.902,7qdY93tMzb3Y5JjfRG9CZ6,0.000317,8.0,0.347,-6.426,1.0,0.206,150.242,4.0,https://api.spotify.com/v1/tracks/7qdY93tMzb3Y5JjfRG9CZ6,audio_features,spotify:track:7qdY93tMzb3Y5JjfRG9CZ6,0.047
43,,0.00202,https://api.spotify.com/v1/audio-analysis/1Hg0FNly2Gg6uxewPWTjmh,0.317,188428.0,0.841,1Hg0FNly2Gg6uxewPWTjmh,0.162,0.0,0.33,-4.219,1.0,0.0351,75.001,4.0,https://api.spotify.com/v1/tracks/1Hg0FNly2Gg6uxewPWTjmh,audio_features,spotify:track:1Hg0FNly2Gg6uxewPWTjmh,0.0604
44,,0.1,https://api.spotify.com/v1/audio-analysis/7mjFfdfmpijcNhTsgzbkkD,0.398,248800.0,0.846,7mjFfdfmpijcNhTsgzbkkD,0.0,2.0,0.288,-4.625,0.0,0.0645,150.104,4.0,https://api.spotify.com/v1/tracks/7mjFfdfmpijcNhTsgzbkkD,audio_features,spotify:track:7mjFfdfmpijcNhTsgzbkkD,0.323
45,,0.158,https://api.spotify.com/v1/audio-analysis/1KhvOBEOYWZC85n0DvjGVx,0.278,152520.0,0.825,1KhvOBEOYWZC85n0DvjGVx,0.00229,6.0,0.187,-6.057,0.0,0.12,148.475,5.0,https://api.spotify.com/v1/tracks/1KhvOBEOYWZC85n0DvjGVx,audio_features,spotify:track:1KhvOBEOYWZC85n0DvjGVx,0.183
46,,0.00344,https://api.spotify.com/v1/audio-analysis/6ynJmgWua9s60heIEGywqk,0.445,292650.0,0.961,6ynJmgWua9s60heIEGywqk,0.785,5.0,0.355,-3.376,0.0,0.0354,152.018,4.0,https://api.spotify.com/v1/tracks/6ynJmgWua9s60heIEGywqk,audio_features,spotify:track:6ynJmgWua9s60heIEGywqk,0.113
47,,0.00563,https://api.spotify.com/v1/audio-analysis/45rhvLU8b6qwIRugcKZQWX,0.556,285780.0,0.95,45rhvLU8b6qwIRugcKZQWX,2.74e-05,1.0,0.146,-5.125,1.0,0.0726,150.164,4.0,https://api.spotify.com/v1/tracks/45rhvLU8b6qwIRugcKZQWX,audio_features,spotify:track:45rhvLU8b6qwIRugcKZQWX,0.213
48,,0.00282,https://api.spotify.com/v1/audio-analysis/5MnXWKo7MMbDDQAFJ6E5KQ,0.529,272000.0,0.698,5MnXWKo7MMbDDQAFJ6E5KQ,0.186,7.0,0.135,-4.723,1.0,0.048,149.948,4.0,https://api.spotify.com/v1/tracks/5MnXWKo7MMbDDQAFJ6E5KQ,audio_features,spotify:track:5MnXWKo7MMbDDQAFJ6E5KQ,0.35
49,,0.013,https://api.spotify.com/v1/audio-analysis/3jhqya4JPM77Ut2OE0TIGs,0.509,220258.0,0.819,3jhqya4JPM77Ut2OE0TIGs,6.37e-05,1.0,0.353,-4.823,0.0,0.103,155.051,4.0,https://api.spotify.com/v1/tracks/3jhqya4JPM77Ut2OE0TIGs,audio_features,spotify:track:3jhqya4JPM77Ut2OE0TIGs,0.13
50,,0.0081,https://api.spotify.com/v1/audio-analysis/0piHLWuZrWfJv6fEKrLF13,0.555,191498.0,0.942,0piHLWuZrWfJv6fEKrLF13,0.0612,1.0,0.737,-4.605,0.0,0.0744,155.001,4.0,https://api.spotify.com/v1/tracks/0piHLWuZrWfJv6fEKrLF13,audio_features,spotify:track:0piHLWuZrWfJv6fEKrLF13,0.129
