,0,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
26,,0.00148,https://api.spotify.com/v1/audio-analysis/1GKBarm8e15rm4KU6gEEsk,0.62,191407.0,0.99,1GKBarm8e15rm4KU6gEEsk,0.0359,6.0,0.184,-3.045,0.0,0.149,74.994,4.0,https://api.spotify.com/v1/tracks/1GKBarm8e15rm4KU6gEEsk,audio_features,spotify:track:1GKBarm8e15rm4KU6gEEsk,0.228
27,,0.00111,https://api.spotify.com/v1/audio-analysis/7qqO2U0CrXbBJBqK3173ls,0.486,280800.0,0.944,7qqO2U0CrXbBJBqK3173ls,0.0,9.0,0.121,-2.984,0.0,0.0637,144.971,4.0,https://api.spotify.com/v1/tracks/7qqO2U0CrXbBJBqK3173ls,audio_features,spotify:track:7qqO2U0CrXbBJBqK3173ls,0.369
28,,0.00215,https://api.spotify.com/v1/audio-analysis/2uGquEbtwajPLndiHrsGbw,0.512,226613.0,0.805,2uGquEbtwajPLndiHrsGbw,0.0,7.0,0.129,-4.937,0.0,0.0835,128.096,4.0,https://api.spotify.com/v1/tracks/2uGquEbtwajPLndiHrsGbw,audio_features,spotify:track:2uGquEbtwajPLndiHrsGbw,0.342
29,,0.00217,https://api.spotify.com/v1/audio-analysis/4ydyFRrq87h71FBhmecooH,0.728,235233.0,0.706,4ydyFRrq87h71FBhmecooH,0.00651,2.0,0.249,-6.993,0.0,0.0383,139.997,4.0,https://api.spotify.com/v1/tracks/4ydyFRrq87h71FBhmecooH,audio_features,spotify:track:4ydyFRrq87h71FBhmecooH,0.348
30,,0.0115,https://api.spotify.com/v1/audio-analysis/3fZOYIZBmzKM0jjoEmDB9V,0.481,322286.0,0.669,3fZOYIZBmzKM0jjoEmDB9V,0.058,8.0,0.117,-8.136,1.0,0.0612,140.07,4.0,https://api.spotify.com/v1/tracks/3fZOYIZBmzKM0jjoEmDB9V,audio_features,spotify:track:3fZOYIZBmzKM0jjoEmDB9V,0.0908
31,,0.0424,https://api.spotify.com/v1/audio-analysis/19ZelJZGJeoBnIL3PDngsu,0.222,257202.0,0.55,19ZelJZGJeoBnIL3PDngsu,0.00112,5.0,0.529,-6.414,1.0,0.0357,140.195,4.0,https://api.spotify.com/v1/tracks/19ZelJZGJeoBnIL3PDngsu,audio_features,spotify:track:19ZelJZGJeoBnIL3PDngsu,0.0558
32,,0.115,https://api.spotify.com/v1/audio-analysis/66PtaNyiEpTK8MOsv29peH,0.614,198016.0,0.655,66PtaNyiEpTK8MOsv29peH,0.0,7.0,0.172,-6.581,1.0,0.145,159.804,4.0,https://api.spotify.com/v1/tracks/66PtaNyiEpTK8MOsv29peH,audio_features,spotify:track:66PtaNyiEpTK8MOsv29peH,0.641
33,,0.000303,https://api.spotify.com/v1/audio-analysis/6YsXjKwzziQAUm83R60LCz,0.508,188800.0,0.952,6YsXjKwzziQAUm83R60LCz,5.43e-05,11.0,0.397,-3.56,0.0,0.0789,75.147,4.0,https://api.spotify.com/v1/tracks/6YsXjKwzziQAUm83R60LCz,audio_features,spotify:track:6YsXjKwzziQAUm83R60LCz,0.511
34,,0.756,https://api.spotify.com/v1/audio-analysis/3E0IFVnznKJArbNUISgXso,0.415,177842.0,0.92,3E0IFVnznKJArbNUISgXso,1.21e-06,9.0,0.13,-1.403,1.0,0.0802,145.177,4.0,https://api.spotify.com/v1/tracks/3E0IFVnznKJArbNUISgXso,audio_features,spotify:track:3E0IFVnznKJArbNUISgXso,0.153
35,,0.00325,https://api.spotify.com/v1/audio-analysis/2BrEHx5ITLJHYF7A68XAiE,0.662,204180.0,0.939,2BrEHx5ITLJHYF7A68XAiE,0.919,11.0,0.104,-2.672,1.0,0.0428,108.992,4.0,https://api.spotify.com/v1/tracks/2BrEHx5ITLJHYF7A68XAiE,audio_features,spotify:track:2BrEHx5ITLJHYF7A68XAiE,0.567
36,,0.00101,https://api.spotify.com/v1/audio-analysis/6tTkPEsSaQ37vrgTJ5YAuP,0.79,183284.0,0.805,6tTkPEsSaQ37vrgTJ5YAuP,0.318,9.0,0.102,-2.862,1.0,0.0691,110.034,4.0,https://api.spotify.com/v1/tracks/6tTkPEsSaQ37vrgTJ5YAuP,audio_features,spotify:track:6tTkPEsSaQ37vrgTJ5YAuP,0.566
37,,0.00631,https://api.spotify.com/v1/audio-analysis/1LV5G400jD3Ytvyv6Dlkym,0.636,180400.0,0.802,1LV5G400jD3Ytvyv6Dlkym,4.14e-05,2.0,0.059,-2.168,1.0,0.167,139.815,4.0,https://api.spotify.com/v1/tracks/1LV5G400jD3Ytvyv6Dlkym,audio_features,spotify:track:1LV5G400jD3Ytvyv6Dlkym,0.335
38,,0.0652,https://api.spotify.com/v1/audio-analysis/4Tap3KQzOL39XmqLOdFWJj,0.623,158254.0,0.972,4Tap3KQzOL39XmqLOdFWJj,0.197,8.0,0.241,-0.525,0.0,0.256,75.05,4.0,https://api.spotify.com/v1/tracks/4Tap3KQzOL39XmqLOdFWJj,audio_features,spotify:track:4Tap3KQzOL39XmqLOdFWJj,0.538
39,,0.258,https://api.spotify.com/v1/audio-analysis/0K00VDNTInLDTbZLyHnlRM,0.45,208086.0,0.771,0K00VDNTInLDTbZLyHnlRM,6.08e-06,7.0,0.117,-3.843,0.0,0.0413,141.958,4.0,https://api.spotify.com/v1/tracks/0K00VDNTInLDTbZLyHnlRM,audio_features,spotify:track:0K00VDNTInLDTbZLyHnlRM,0.209
40,,0.0306,https://api.spotify.com/v1/audio-analysis/2seZ5TZ8Wl5uB6DbTA8jaY,0.614,356129.0,0.928,2seZ5TZ8Wl5uB6DbTA8jaY,1.47e-06,1.0,0.38,-3.702,1.0,0.126,123.945,4.0,https://api.spotify.com/v1/tracks/2seZ5TZ8Wl5uB6DbTA8jaY,audio_features,spotify:track:2seZ5TZ8Wl5uB6DbTA8jaY,0.344
41,,0.00478,https://api.spotify.com/v1/audio-analysis/0pDZCcpn41UDtsJQJ7sl3A,0.585,226928.0,0.966,0pDZCcpn41UDtsJQJ7sl3A,0.0599,5.0,0.0551,-2.331,0.0,0.0658,149.99,4.0,https://api.spotify.com/v1/tracks/0pDZCcpn41UDtsJQJ7sl3A,audio_features,spotify:track:0pDZCcpn41UDtsJQJ7sl3A,0.484
42,,0.325,https://api.spotify.com/v1/audio-analysis/0fPHWE7meGCm5d4A0zVLDe,0.544,270000.0,0.72,0fPHWE7meGCm5d4A0zVLDe,3.27e-06,10.0,0.0993,-7.237,0.0,0.0396,139.979,4.0,https://api.spotify.com/v1/tracks/0fPHWE7meGCm5d4A0zVLDe,audio_features,spotify:track:0fPHWE7meGCm5d4A0zVLDe,0.29
43,,0.00399,https://api.spotify.com/v1/audio-analysis/57HYspGDPcmuZojdshLgTK,0.533,228200.0,0.841,57HYspGDPcmuZojdshLgTK,0.000808,2.0,0.626,-6.014,1.0,0.136,139.974,4.0,https://api.spotify.com/v1/tracks/57HYspGDPcmuZojdshLgTK,audio_features,spotify:track:57HYspGDPcmuZojdshLgTK,0.268
44,,0.000782,https://api.spotify.com/v1/audio-analysis/4IFRQVR4zzaJ1CabjieaK7,0.367,192000.0,0.832,4IFRQVR4zzaJ1CabjieaK7,0.00113,0.0,0.2,-5.066,0.0,0.0723,150.115,4.0,https://api.spotify.com/v1/tracks/4IFRQVR4zzaJ1CabjieaK7,audio_features,spotify:track:4IFRQVR4zzaJ1CabjieaK7,0.36
